;accountName;saleDate;totaltransactions;avgprice;lastprice;differentip;lifespan;number_of_week;weekend;lastmethod;country;orderfreq;return
188087;c8dfe7c4754566720ee17ab16619;2013;5;17.0;25.0;4;82;1;0;40;15;16.4;0
188117;1c5a6718912445cc23f9fb183936;2013;5;10.0;10.0;5;109;0;0;40;11;21.8;0
188122;99c045531dba9e1b19f86e93d1db;2013;6;19.1666666667;10.0;3;254;6;1;40;32;42.3333333333;1
188127;cb479d6423e82192ae8c75dd942e;2013;1;15.0;15.0;1;1;4;0;100;106;1.0;0
188128;887ea6df610da9a8fd2f63bd3809;2013;3;6.0;5.0;2;14;4;0;40;11;4.66666666667;0
188135;a80895bb83d032909210f32ab224;2013;1;10.0;10.0;1;1;4;0;40;32;1.0;0
188140;cb627a16adda0067c5f24668f37a;2013;4;10.0;10.0;4;142;5;1;40;32;35.5;0
188141;441d9cb85e3d79e8c012484a1883;2013;2;9.49;3.99;1;1;4;0;1000;32;0.5;0
188155;25997c2cb651ca759b02dc4798bf;2013;1;10.0;10.0;1;1;4;0;40;90;1.0;0
188185;9964d670f37227ca7e20dfecd81c;2013;2;10.0;10.0;2;232;5;1;40;32;116.0;0
188195;90cf008b0879fe549d0c13591c12;2013;8;2.0;2.0;3;12;2;0;2000;43;1.5;0
188223;9b2c9e46d84dba4d4c76be2824c1;2013;6;3.66666666667;2.0;3;7;3;0;2000;43;1.16666666667;0
188232;d350995bcba2905b12e6478b0e3e;2013;1;10.0;10.0;1;1;4;0;40;50;1.0;0
188237;04555e13e35b5da6e93444133cb5;2013;2;1.818;1.818;1;1;4;0;2000;44;0.5;0
188240;1edf258935c215d232cbb94929c6;2013;1;1.818;1.818;1;1;4;0;2000;44;1.0;0
188254;08cc89940149b675de886761a282;2013;4;7.411;7.411;1;1;5;1;2000;43;0.25;0
188255;cb1f013ccb20f61c6ed208adf0cb;2013;1;10.0;10.0;1;1;4;0;30;90;1.0;0
188257;f3361c4a32f14ca138a8916698e2;2013;1;10.0;10.0;1;1;4;0;20;43;1.0;0
188263;54dcef727a576f72a96c7e0772ad;2013;3;5.66666666667;2.0;2;20;3;0;40;32;6.66666666667;0
188265;fa454bb003293ddb7f6483041f45;2013;3;2.0;2.0;1;1;4;0;40;32;0.333333333333;0
188266;b22594b4487dd6c7aa2eb02bafc6;2013;15;4.12333333333;3.99;11;240;6;1;1000;32;16.0;0
188281;eaa401c4675e2479eba6b68b62f7;2013;1;1.69;1.69;1;1;4;0;2000;43;1.0;0
188283;5b715b8a6600b81b3d1b60b94355;2013;4;0.685;0.685;1;1;4;0;1000;126;0.25;0
188287;9b4b7fad5d4f50660dd95adc1a6b;2013;4;2.0;2.0;4;233;6;1;2000;15;58.25;0
188291;52edd0932b4f85c7fb62b17eaf26;2013;1;10.0;10.0;1;1;4;0;30;90;1.0;0
188300;014b6bcad8bc7383a9e6f37fabee;2013;8;13.5;10.0;1;88;1;0;20;43;11.0;0
188309;299f032cc4f44672f877bdc0e40e;2013;3;3.33733333333;2.642;1;71;5;1;1000;97;23.6666666667;0
188310;89fc46f176aec0ce07e0763d02d0;2013;18;9.72222222222;10.0;16;259;4;0;40;32;14.3888888889;1
188314;942301759609bf24e93000cf3270;2013;5;7.411;7.411;3;3;6;1;2000;43;0.6;0
188317;feb539c99b3774ba576d144344dd;2013;2;1.49;0.99;1;1;5;1;1000;32;0.5;0
188326;a4be542967fc27142199f4dc38a4;2013;9;5.21666666667;10.0;6;245;4;0;40;32;27.2222222222;1
188327;86b649bc61fd5d3c1484be3e0471;2013;1;10.0;10.0;1;1;4;0;137;124;1.0;0
188352;8befb361d27c9f8b2aae824e52fe;2013;1;10.0;10.0;1;1;4;0;137;32;1.0;0
188357;9e30454b57b07b71fe18a205e5c3;2013;2;10.0;10.0;1;37;5;1;40;100;18.5;0
188365;fdbae5953a4b3827c552c0a20874;2013;1;2.0;2.0;1;1;4;0;1000;15;1.0;0
188376;ed82356988c98da2085ac42127a1;2013;30;2.773;4.0;18;65;6;1;2000;43;2.16666666667;0
188379;5cacd9410d80792775907ac876ea;2013;1;50.0;50.0;1;1;4;0;40;11;1.0;0
188382;03b366c7b5d4bdee92645b01b4a4;2013;5;10.0;10.0;1;10;0;0;137;124;2.0;0
188384;8b924ec8c3b78ed9c84059140003;2013;1;30.0;30.0;1;1;4;0;1000;32;1.0;0
188387;47e1a0060500ff330c718ce8edc9;2013;2;1.69;1.69;1;1;4;0;2000;43;0.5;0
188397;445edc620ec1b668d83b369707fd;2013;4;6.0;8.0;3;16;6;1;2000;43;4.0;0
188398;f6b71483e77186787c025c04ad99;2013;49;2.90714285714;1.69;8;34;3;0;2000;1;0.69387755102;0
188423;ab1225a0e6eb101c677febd72c06;2013;1;1.5;1.5;1;1;4;0;1000;43;1.0;1
188431;c4f9cd5867ae5f300affeaed63fd;2013;1;1.5;1.5;1;1;4;0;1000;43;1.0;0
188432;2766d97c54c96763711f7d5a4707;2013;2;2.0;2.0;1;1;4;0;2000;43;0.5;0
188446;9f6eac37075c2e4594ef015b2df3;2013;1;8.0;8.0;1;1;4;0;2000;43;1.0;0
188474;3c8ba0884f5da7bca2a3c147a98c;2013;5;1.814;2.0;4;58;6;1;2000;43;11.6;0
188478;27d65882f46ac1892c28a130093f;2013;11;2.32;2.0;9;78;5;1;2000;43;7.09090909091;0
188488;4c2596caee517ee975509094d6a7;2013;9;2.37555555556;1.69;1;139;3;0;2000;84;15.4444444444;1
188491;2f604f7153cb6b9aea4d54512840;2013;1;9.99;9.99;1;1;4;0;1000;32;1.0;0
188496;bcedf1fb52ebf636d1ec570ea7d4;2013;4;2.345;4.0;1;9;6;1;2000;84;2.25;0
188556;0d22da4cf5e71825afbdd3a16bf8;2013;54;4.965;10.0;1;54;2;0;40;43;1.0;1
188567;9f91cc539c81f80122333d1822d1;2013;1;2.0;2.0;1;1;5;1;2000;49;1.0;0
188577;a81a840711450d3df93e958e8643;2013;1;6.99;6.99;1;1;5;1;1000;32;1.0;0
188582;3100353779895938b66c1cce3deb;2013;42;6.5494047619;1.69;9;228;1;0;2000;43;5.42857142857;0
188590;767423d14635dab3d6bd59674cdb;2013;37;3.18;2.0;1;123;1;0;2000;43;3.32432432432;1
188598;3ba087717f775c4216cc5bc8b307;2013;1;8.0;8.0;1;1;5;1;2000;84;1.0;0
188600;c763dfe17599983d0cd99671aeb6;2013;45;3.88977777778;8.0;4;204;5;1;2000;43;4.53333333333;1
188602;cd2746aaeedc6367e7fad3364eb2;2013;8;1.80625;1.69;1;1;6;1;2000;43;0.125;0
188629;7e6fa4044c3f6ae0815845ae80fd;2013;1;1.818;1.818;1;1;5;1;2000;44;1.0;0
188643;d2beb22229aeea69ec5fca7b62f9;2013;1;11.594;11.594;1;1;5;1;1000;44;1.0;1
188644;2f1ceb7251b579a8e33c0a301800;2013;11;10.0;10.0;1;124;2;0;30;90;11.2727272727;0
188646;b960830ab7d4589ca1b6b89a72ba;2013;16;2.9375;10.0;1;174;3;0;40;15;10.875;0
188647;6c441f557ec8d593ce16fceae734;2013;1;10.0;10.0;1;1;5;1;40;15;1.0;0
188653;0433c433d1d0f9b0413a0ff00503;2013;3;1.818;1.818;1;1;5;1;2000;44;0.333333333333;0
188673;e26896255c0c85104b4ae552187f;2013;10;27.0;10.0;2;41;4;0;40;40;4.1;0
188678;7909e4d495f92819bf86ba0120c0;2013;4;10.5;10.0;3;143;0;0;20;84;35.75;0
188679;de69df680ce11ae9365d7a92c097;2013;25;3.72;4.5;5;107;0;0;1000;43;4.28;0
188684;477272800e7567c9a5b51a8708df;2013;1;1.99;1.99;1;1;5;1;1000;32;1.0;0
188688;48ed4c624611c8cb5c74577265ab;2013;5;4.4;4.5;3;8;5;1;1000;15;1.6;0
188692;270e9dd690681836152198474d3c;2013;1;4.5;4.5;1;1;5;1;1000;15;1.0;0
188694;c77332ed1f4a295fb95e0126f7bd;2013;2;4.25;4.0;1;1;5;1;2000;43;0.5;0
188695;247cf43aa265f2c53ab370202815;2013;29;3.1624137931;9.99;5;108;1;0;1000;32;3.72413793103;0
188699;af554c313f7b66bac8cf2cbb9d50;2013;65;2.33661538462;1.69;21;57;5;1;2000;43;0.876923076923;1
188708;31bbcade576d87fea1ff36be1485;2013;1;10.0;10.0;1;1;5;1;30;90;1.0;0
188710;c6de95c181815bd00d798e382721;2013;2;19.995;30.0;2;5;3;0;1000;32;2.5;0
188719;6d32142e7a59ecf9b770ae47ae57;2013;32;5.4321875;1.69;7;230;4;0;2000;43;7.1875;1
188722;fe011559ca70224c482000e3f731;2013;1;25.0;25.0;1;1;5;1;40;32;1.0;0
188744;5cc8e14a133f75f1beb6e59336ed;2013;17;2.0;2.0;3;14;5;1;2000;43;0.823529411765;0
188745;ca62ea48d53a9c7f5ecf25538418;2013;74;2.00108108108;1.69;2;82;2;0;2000;84;1.10810810811;0
188751;fffd5a880acb9582c5614e387ce1;2013;1;1.0;1.0;1;1;5;1;40;90;1.0;0
188754;6ef17b19b18d860277634c5bc2e5;2013;1;5.0;5.0;1;1;5;1;40;50;1.0;0
188756;d8cabe854c7f017817a816598c8e;2013;3;10.0;10.0;2;19;2;0;40;32;6.33333333333;0
188792;685ca4a40447059bb6297c6b3f34;2013;13;3.20692307692;10.0;6;263;1;0;137;23;20.2307692308;0
188794;70d259967cf6b3b283a5b5bcd656;2013;1;10.0;10.0;1;1;5;1;40;40;1.0;0
188798;90bc0001ef5f6505de13744863bb;2013;24;4.46125;4.0;11;64;6;1;2000;43;2.66666666667;0
188800;8cba3bafe6fca3de51a1e0787b84;2013;28;2.06535714286;1.69;10;16;0;0;2000;2;0.571428571429;0
188808;a7b9b427215dea7552a6f4fe01e1;2013;7;2.24142857143;2.0;2;23;6;1;2000;84;3.28571428571;0
188810;fe3d4266c42458064f4a5eee4deb;2013;2;9.99;9.99;1;1;5;1;2000;32;0.5;0
188813;00d0ec577bfde7a0906e973644d0;2013;1;10.0;10.0;1;1;5;1;30;90;1.0;0
188825;4f9528aa2d8c4601a0f1d481ad8c;2013;13;2.42461538462;2.46;9;163;0;0;2000;100;12.5384615385;0
188830;3b0ce36dc40ac5a46d1c82e89036;2013;3;15.0;10.0;3;4;2;0;40;32;1.33333333333;0
188832;e77d0cb0dcdb7489398bd026a66a;2013;1;2.0;2.0;1;1;5;1;2000;43;1.0;0
188839;5d11541e520c14ca0277bfcce122;2013;1;1.69;1.69;1;1;5;1;2000;84;1.0;0
188863;14327b466d2bd44bf4c2cdcab89c;2013;1;10.0;10.0;1;1;5;1;20;43;1.0;0
188864;9d278d3810a1c49c89c48b3b31a7;2013;3;3.33333333333;4.0;1;1;5;1;1000;100;0.333333333333;0
188865;86400165c7011c27bb823ef675e2;2013;1;5.0;5.0;1;1;5;1;40;32;1.0;0
188884;944c2efa49f96bcaf82fc54d5cdb;2013;9;6.65777777778;14.99;5;106;6;1;1000;32;11.7777777778;1
188887;2776ce90203204f739313301c0a8;2013;1;1.69;1.69;1;1;5;1;2000;84;1.0;0
188895;dfa344a572f8b55b54917dd84165;2013;4;1.69;1.69;1;1;5;1;2000;43;0.25;0
188925;596f8fe92a7f01e5c715f0698f60;2013;25;27.4;50.0;13;87;1;0;40;43;3.48;0
188953;fe45f3a8fea0ae7ea3d700cd3e08;2013;52;3.86884615385;8.0;1;118;3;0;2000;43;2.26923076923;0
188960;b0221da632fcab9c76878184b12f;2013;1;4.0;4.0;1;1;5;1;2000;43;1.0;0
188976;b1d7340e23f7dff10cc6838402c7;2013;1;8.0;8.0;1;1;5;1;2000;43;1.0;0
188977;090009946f9593adfff4d509c845;2013;1;4.5;4.5;1;1;5;1;1000;43;1.0;0
189007;331fcddd8da8b57983a1138c85cd;2013;1;3.479;3.479;1;1;5;1;1000;44;1.0;0
189018;2bbd42be9c036ee81381c7288bcf;2013;44;6.96656818182;7.411;2;156;6;1;2000;84;3.54545454545;0
189037;c0ad434793806ab0f6af3810396a;2013;1;15.0;15.0;1;1;5;1;100;106;1.0;1
189055;64c0ff9597894fceaf0870c9d099;2013;1;2.0;2.0;1;1;5;1;2000;49;1.0;0
189079;c42e8503f2004f6eecf9ed8cc61c;2013;5;6.4;4.0;3;81;2;0;2000;43;16.2;1
189083;9eb3ebd7b990bf030de6d5716fe9;2013;1;2.433;2.433;1;1;5;1;1000;24;1.0;0
189086;90e5d14ee5dd3a7a8c1c9ac912f4;2013;1;6.99;6.99;1;1;5;1;1000;32;1.0;0
189122;8ecfe8eda06fcf040b8d98907bb3;2013;1;4.0;4.0;1;1;5;1;2000;43;1.0;0
189127;2b3a2ce2fc8c412380493370b396;2013;3;4.99;0.99;2;1;6;1;1000;32;0.333333333333;0
189131;7d0125bcbf30763dd796e3a52505;2013;1;10.0;10.0;1;1;5;1;40;30;1.0;0
189137;4987d8948d8583e0a4f80480d6d2;2013;8;4.7425;10.0;7;219;0;0;40;32;27.375;0
189139;38774815abb0e153bbacbf7d690b;2013;17;5.81352941176;6.99;4;144;2;0;1000;32;8.47058823529;1
189147;4a9e8953405f17f75e29f235d366;2013;112;0.683705357143;0.681;6;32;2;0;1000;126;0.285714285714;0
189162;99a9f2b5bb591807c939378333fe;2013;229;2.33825327511;2.0;11;186;2;0;2000;84;0.812227074236;1
189167;06d03712d1b1fcdeb68a271526a6;2013;2;3.0;4.0;1;1;6;1;2000;49;0.5;0
189172;a380042d0db0e2b6377cefb53f91;2013;4;1.69;1.69;1;1;6;1;2000;43;0.25;0
189243;8e883b54b52d57bf8b54f23d6948;2013;19;4.00736842105;8.0;9;105;5;1;2000;84;5.52631578947;0
189315;0d4fa1c268211139067a9ca5f681;2013;57;7.88929824561;8.0;2;112;5;1;2000;49;1.9649122807;0
189317;9667626022db77ead6da5a58ddf4;2013;2;2.957;3.702;1;1;6;1;2000;23;0.5;0
189320;5adb90327159937ad7a5c96e591e;2013;1;20.0;20.0;1;1;6;1;137;124;1.0;0
189349;4359c04a105696c147eb6445fde0;2013;18;1.93444444444;4.99;17;60;3;0;2000;32;3.33333333333;0
189352;3de2e4777e8d206d91c95f888729;2013;1;0.891;0.891;1;1;6;1;1000;97;1.0;1
189359;74177ae64ffce410efb88c2c0559;2013;1;9.99;9.99;1;1;6;1;1000;32;1.0;0
189361;f28d96aea25b7c16443e577a2f2c;2013;2;5.49;6.99;2;4;2;0;1000;32;2.0;0
189385;7473eca186776d435fc0065544e3;2013;2;10.0;10.0;2;116;2;0;40;30;58.0;0
189386;03dcd1e1ef6f1ed736d87df26657;2013;1;5.256;5.256;1;1;6;1;1000;12;1.0;0
189401;4b5e607418e8114f65d406718aa3;2013;4;1.818;1.818;3;107;1;0;2000;44;26.75;0
189402;5382cce0d6d6775518b7e83c5ba4;2013;2;1.99;1.99;2;7;6;1;2000;32;3.5;0
189406;cd46670d8edb03efa98bd802f465;2013;1;1.818;1.818;1;1;6;1;2000;44;1.0;0
189410;297109240d14cb3358a91896fdd2;2013;3;7.33;10.0;2;14;6;1;40;32;4.66666666667;0
189414;396211fc97abb37425f8c9b8dcb7;2013;1;1.69;1.69;1;1;6;1;2000;43;1.0;0
189425;600d78815a6b0eb947ae9e74a8bc;2013;6;2.16666666667;2.0;3;21;5;1;1000;15;3.5;0
189436;0384c1771fa073ea0efcbd371de7;2013;7;3.01328571429;1.777;4;190;6;1;1000;44;27.1428571429;0
189462;5a0cbf8b048b72779a1b3416990b;2013;20;1.7365;1.69;5;17;1;0;2000;43;0.85;0
189497;6e5f4b923351c258e3406429cc27;2013;1;5.792;5.792;1;1;6;1;1000;44;1.0;0
189508;c70f05e0cad8eeb7bcda8443c60c;2013;1;2.0;2.0;1;1;6;1;2000;49;1.0;0
189511;6552daad9aa92fa43eb390e627ac;2013;11;2.09727272727;2.0;4;74;2;0;2000;84;6.72727272727;0
189518;782ee6889b52740bd863b2acdb83;2013;6;1.49;1.99;5;84;6;1;1000;32;14.0;0
189521;bcefe85cd1cf4cfec6e16f5ecd79;2013;2;1.845;1.69;2;72;0;0;2000;43;36.0;0
189529;eff420b6e2f73f59b02b376f2ecf;2013;1;2.0;2.0;1;1;6;1;2000;84;1.0;0
189531;054f9b60a51409b520aa5c1f4bb6;2013;2;2.227;1.782;1;1;6;1;1000;97;0.5;0
189533;362d407650c23a250576f8466f24;2013;5;4.8;4.0;1;11;3;0;2000;84;2.2;0
189540;6c5675d5f3eb905b823e9f2f5f47;2013;1;1.5;1.5;1;1;6;1;1000;43;1.0;0
189574;d54b0bd9b3b77325bdfc3538c690;2013;17;2.29411764706;1.5;8;251;4;0;1000;64;14.7647058824;1
189583;7d56c63acacd061e11052bf9bb0f;2013;6;1.3;1.3;1;1;6;1;2000;90;0.166666666667;0
189600;10c5449a867ff24226ece2442611;2013;1;15.0;15.0;1;1;6;1;100;106;1.0;0
189607;d0b154ec7880f57396e4f00ed198;2013;8;7.74125;9.99;8;201;4;0;1000;32;25.125;0
189614;3ea990d2e7951fe1e0c207fcbe8a;2013;3;3.33333333333;4.0;1;1;6;1;1000;15;0.333333333333;0
189619;f80fa8fb74ea83c362ceab8c7a10;2013;18;2.33333333333;4.0;6;15;0;0;2000;43;0.833333333333;0
189626;8b0ebd397c935b0bfae9dcae707c;2013;48;1.91314583333;1.825;23;252;5;1;1000;10;5.25;1
189650;17e799457c64a7b24ca235f78bab;2013;1;5.0;5.0;1;1;6;1;30;90;1.0;0
189655;d4f9aac50649ecf2309248b44407;2013;1;4.0;4.0;1;1;6;1;2000;43;1.0;0
189660;bb368bd3e6716df0eb4970ee390d;2013;2;5.49;0.99;2;28;6;1;1000;32;14.0;0
189677;2798cbf0068b690b775208aff419;2013;1;10.0;10.0;1;1;6;1;40;98;1.0;0
189680;6b63932ce317649134592a88717a;2013;4;5.0;8.0;1;1;6;1;2000;84;0.25;0
189688;59eb30de9597102bb79caad8cb59;2013;2;20.0;10.0;2;59;2;0;137;40;29.5;0
189699;1c2068efd008c05acccc2610e7f1;2013;15;2.338;1.69;2;13;4;0;2000;43;0.866666666667;0
189730;b5558c84545cab8ec62305784cf0;2013;4;10.0;10.0;4;91;5;1;40;32;22.75;0
189746;fb6558ae1b73cc9abf8383863342;2013;2;4.0;4.0;1;31;2;0;1000;15;15.5;1
189756;0c247570d3f58d3cccfa9676fb1c;2013;1;1.69;1.69;1;1;6;1;2000;43;1.0;0
189771;62d5b2cc21b5eb27c26be01e966a;2013;8;2.8125;4.0;2;52;2;0;2000;84;6.5;0
189787;ff67f4d3c5044b74a0eb01c86e09;2013;4;3.4225;4.0;2;52;1;0;2000;43;13.0;0
189824;9ca5074f84f1f3e605325581a583;2013;4;2.5;4.0;2;5;4;0;2000;43;1.25;0
189825;002ccf08b0622b62b5d8740a9fc3;2013;3;1.79333333333;1.69;2;18;3;0;2000;49;6.0;0
189829;82bc55fbf06a71c17753078d4d9d;2013;10;7.1923;7.411;5;97;5;1;2000;43;9.7;0
189836;2a04d37e2fcbfa86e44cb21db7a4;2013;5;9.794;10.0;5;163;0;0;40;32;32.6;1
189838;3c816b5eb3df6009172498f25e7c;2013;1;2.0;2.0;1;1;6;1;2000;43;1.0;0
189857;1b1c5f27faf624e4353cf90009cd;2013;33;2.17151515152;2.0;19;123;3;0;2000;43;3.72727272727;0
189917;24153bdc3e38a837b1216acf6fb7;2013;12;2.115;2.0;6;18;3;0;2000;43;1.5;0
189925;48e805668251cb6e4ab0e5404935;2013;7;1.91142857143;1.69;2;6;5;1;2000;43;0.857142857143;0
189953;8957827b2d98b80e5abb1bf78233;2013;9;2.66666666667;8.0;4;6;5;1;2000;43;0.666666666667;0
189959;b9378a845b9769b1a07a128f93a4;2013;1;1.69;1.69;1;1;0;0;2000;43;1.0;0
189961;086819d60117b6ea1e09a160e927;2013;16;4.153125;4.0;2;5;4;0;2000;43;0.3125;0
189989;d8aea03e0a2a7e49a90d3d62728f;2013;2;5.256;5.256;1;1;0;0;1000;12;0.5;0
190006;ebdc9bfae30f4e41fda1a554faa5;2013;1;1.69;1.69;1;1;0;0;2000;43;1.0;0
190013;74da8a19b21bbb2693f49a5f4ff6;2013;147;0.686278911565;0.678;4;45;2;0;1000;126;0.30612244898;0
190014;e04ce4f92f474aa9a9e7e0f9bbb3;2013;1;0.681;0.681;1;1;0;0;1000;126;1.0;0
190031;646c1b5c6ad0c5a2223d7e38b21c;2013;2;12.5;10.0;2;1;0;0;100;106;0.5;0
190039;a71bf70deb1e33bb4fcc10f0fe78;2013;3;10.0;10.0;3;25;3;0;40;32;8.33333333333;0
190044;31cd291ed7301e6521045e4c8b7a;2013;4;1.74;0.99;1;1;0;0;1000;32;0.25;0
190050;6e0b9b48508070c8fd036f0c41eb;2013;2;7.08;7.08;2;10;3;0;1000;40;5.0;0
190058;eb298f5903f4316565ea72d06020;2013;1;2.0;2.0;1;1;0;0;2000;43;1.0;0
190064;98d02d933953a6ba7f710c228cf2;2013;2;6.99;6.99;2;3;2;0;1000;32;1.5;0
190077;2fd6932adf1bb7e974c6504b339c;2013;3;13.356;13.356;1;24;2;0;2000;91;8.0;0
190106;9eb36723c887a7768601a9032afe;2013;89;1.79573033708;1.69;3;250;4;0;2000;43;2.80898876404;1
190125;7adbf45b117cc485d9f24807e9b5;2013;1;50.0;50.0;1;1;0;0;40;24;1.0;0
190142;75d557b0776374224db15caa165c;2013;4;13.75;10.0;2;42;0;0;40;32;10.5;0
190143;3289030dc381053bda19d8e9dd1f;2013;5;7.08;7.08;3;29;0;0;1000;40;5.8;0
190146;b1cc3b271b8f4154638a9bd39a3d;2013;1;10.0;10.0;1;1;0;0;40;43;1.0;0
190151;68c7778f5fcf9bee6b28a4f67f81;2013;20;2.991;10.0;20;271;5;1;40;32;13.55;1
190154;c2af0c6f8841dc29e07d29e21408;2013;7;10.0;10.0;1;221;3;0;40;15;31.5714285714;0
190158;4159275ccd70bee9935817edc103;2013;10;1.3886;2.396;5;285;5;1;2000;97;28.5;1
190162;dbadc9ba527347fb83ce7fab7258;2013;2;10.0;10.0;1;4;3;0;20;90;2.0;0
190167;1eac87fe3d502f532f2deea08de1;2013;1;3.99;3.99;1;1;0;0;1000;32;1.0;0
190170;f807da4d722c1934bb0d12c5a55f;2013;2;2.49;0.99;2;32;3;0;1000;32;16.0;0
190188;dace1c5896393cd1b31ffb2bc0d6;2013;1;20.0;20.0;1;1;0;0;20;43;1.0;0
190192;f1ca98848fd5d11b477dad0e942d;2013;1;30.0;30.0;1;1;0;0;1000;32;1.0;0
190193;ab3e497a28dd6ad10cf7866c61b0;2013;8;3.21125;4.0;6;26;5;1;2000;43;3.25;0
190207;41683fe2206fdb353a2a205767f6;2013;99;2.55536363636;4.0;9;141;1;0;2000;43;1.42424242424;1
190211;43b846a5cb1cf3bd3b1c992d550d;2013;81;1.73382716049;1.69;21;121;2;0;2000;84;1.49382716049;1
190225;8a2bf54865ab1cd4de8bfbac3bc4;2013;2;9.995;9.99;1;3;2;0;1000;32;1.5;0
190240;d6e8b7e3d7ec155b8c08bf8fad57;2013;35;5.29657142857;2.0;1;62;5;1;2000;49;1.77142857143;0
190242;6308476f9ab91ee0ca73835b3498;2013;20;15.0;10.0;19;112;0;0;20;64;5.6;0
190252;e427ef0c01fe4fae1bdfd5f7afb9;2013;32;6.515625;5.0;1;84;0;0;40;90;2.625;0
190253;8340a27af3f9ed02bc7059dab5b4;2013;2;3.75;4.5;1;1;0;0;1000;43;0.5;0
190254;2e16352b881d3d4e32d54458192d;2013;235;7.04344680851;20.0;80;136;3;0;20;84;0.578723404255;0
190255;571480ce2c61f15471b9a420432d;2013;1;10.0;10.0;1;1;0;0;100;106;1.0;0
190256;3163c67c2b187645c55abcf2f280;2013;1;5.0;5.0;1;1;0;0;40;32;1.0;0
190267;50941fd838a9e0c9ad92b52cf469;2013;2;10.0;10.0;2;156;2;0;40;32;78.0;0
190275;d40c2e1207dbeea51932ff35aae0;2013;9;3.89733333333;3.78;3;101;3;0;1000;131;11.2222222222;1
190293;3a6360aca2b16af52f3440e085bc;2013;4;2.4225;1.69;2;12;5;1;2000;43;3.0;0
190299;e591ff29dd3cc143e05b2b96dc3c;2013;1;0.99;0.99;1;1;0;0;1000;32;1.0;0
190302;cd84f268d93b804e52fa387538d8;2013;27;6.33296296296;5.0;24;288;1;0;40;32;10.6666666667;1
190306;9d46c3c970ea0482b598c05f8e39;2013;2;5.995;10.0;2;4;4;0;20;32;2.0;0
190308;bf43951b598f7406c9bc248fc8af;2013;6;6.32833333333;10.0;4;260;1;0;40;32;43.3333333333;1
190315;adc52201c44b76cf74e4c23663ac;2013;2;10.0;10.0;2;99;0;0;40;100;49.5;0
190326;bb90d91f63a8e71cfaecf5b01e0b;2013;5;3.5;4.0;2;109;4;0;2000;43;21.8;0
190332;013d5f189b2cb47bdd17d02a5ec0;2013;1;1.0;1.0;1;1;0;0;1000;15;1.0;0
190333;2cf574373b29a2d765a985e14039;2013;1;10.0;10.0;1;1;0;0;40;32;1.0;0
190358;11b892f76bb820153ca6ebdc4479;2013;17;6.90470588235;8.0;9;20;6;1;2000;43;1.17647058824;0
190359;8dc5110a9e548658b4ec3ab2f63e;2013;1;3.0;3.0;1;1;0;0;1000;43;1.0;0
190361;e47d2293b9cbeb5929c71d925fc3;2013;1;1.69;1.69;1;1;0;0;2000;49;1.0;0
190364;8e6338f70b75f59f14b1d320f26b;2013;2;14.99;14.99;2;3;2;0;1000;32;1.5;0
190388;ecc2cd9096af9ba62c71b21eacbf;2013;2;1.69;1.69;2;3;2;0;2000;43;1.5;0
190389;4534c0c2092d7e3837dd8e5681c2;2013;1;3.0;3.0;1;1;0;0;1000;64;1.0;0
190399;022c6973cead1051e4686d7198ce;2013;66;1.99015151515;2.0;17;21;0;0;2000;43;0.318181818182;0
190427;e543fd022cfa338b8a501006b774;2013;4;4.5;4.0;2;94;3;0;2000;84;23.5;0
190429;8fb3c23a9f2081a9add16ce6c328;2013;13;0.681;0.681;1;1;0;0;1000;126;0.0769230769231;0
190430;dcacfdd3f3aeb5fd8d33a3066f66;2013;1;20.0;20.0;1;1;0;0;137;124;1.0;0
190450;29ff6278f8dcd76ac9ae96ff7e75;2013;1;7.411;7.411;1;1;0;0;2000;43;1.0;0
190451;fc2771f4c46a1f37a80dc93a4e2f;2013;8;9.5625;4.5;7;149;2;0;1000;43;18.625;0
190459;caf4a8142319f709d6dec18a1fa5;2013;10;4.169;1.69;4;6;6;1;2000;43;0.6;0
190466;c73c446c2166a95440027794ce91;2013;3;6.66666666667;8.0;3;200;4;0;2000;84;66.6666666667;1
190493;62473022cb001c268a322322925e;2013;4;1.69;1.69;1;1;1;0;2000;43;0.25;0
190514;bc12619c3cc74e1dd4e677719f0e;2013;11;0.681;0.681;1;1;1;0;1000;126;0.0909090909091;0
190542;80f97b59bb149f8ff39b86db9a8b;2013;2;12.5;10.0;1;1;1;0;100;106;0.5;0
190557;302669e83278c2ccb3164528db2e;2013;10;2.2;2.0;6;5;5;1;2000;43;0.5;0
190558;8b81e91cb9dc861f33755a05c350;2013;49;2.52306122449;1.69;7;122;3;0;2000;43;2.48979591837;0
190563;7aea94216da877f1bffcf6919204;2013;17;6.40470588235;0.99;13;168;0;0;1000;32;9.88235294118;0
190565;8e6c5d4f54fff45e746f91b1566f;2013;2;12.5;10.0;2;9;2;0;100;106;4.5;0
190568;f767f65b5a6e97af445e7e8f5702;2013;20;28.0;25.0;2;126;0;0;61;32;6.3;0
190570;bfda4aeacf562cc668223fb928cf;2013;4;4.25;2.0;2;247;2;0;1000;15;61.75;0
190574;daf0b725b657f46abd53c3bc7271;2013;3;16.6666666667;10.0;2;10;3;0;20;100;3.33333333333;0
190576;4c7b1e01da6c78ad035b9aee0865;2013;9;5.54555555556;3.99;3;208;5;1;1000;32;23.1111111111;0
